competencia;id_cliente;valor_fatura;tipo_cliente;consumo_energia_kwh;status_fatura;data_vencimento
2021-08;hIBBZIDC9onnvu0gHUdqYw==;107,56;PF;131;atrasada;10/09/2021
2021-08;e/t8QYon5AKgv6Rt9UatSw==;107,56;PF;131;paga;22/09/2021
2021-08;d6pLfG5+4f0YMOrv98AUPQ==;107,56;PF;131;paga;11/09/2021
2021-06;hHU9zMo7tuHcFPFqpwttjw==;108,39;PF;132;paga;03/07/2021
2021-08;HfXuO6yaeRCdRL4oKiWhaw==;108,39;PF;132;paga;21/09/2021
2021-08;yqmMiKvmzv6IX2L2Bvgr4A==;108,39;PF;132;atrasada;08/09/2021
2021-08;mg7lHu7N3URSRoqROta8Vw==;108,39;PF;132;atrasada;06/09/2021
2021-08;RGdwwu8pN0zAIkVjNRlAYQ==;108,39;PF;132;paga;27/08/2021
2021-08;uXDb7zeuHgexhMl+pynlsA==;108,39;PF;132;paga;06/10/2021
2021-08;egaV9NU1g6gQzJKHRKsd7A==;108,39;PF;132;paga;23/08/2021
2021-08;Hq5rKuhL4vcPCEAqKSBztA==;109,21;PF;133;paga;03/09/2021
2021-08;UsHK7PgOieW38yp1JepzOQ==;109,21;PF;133;paga;11/09/2021
2021-08;Za1osX6qAtnHHjGNihIdrg==;110,03;PF;134;paga;15/09/2021
2021-08;KWis/WAxh+vO2YVFVmCvdA==;110,03;PF;134;paga;17/09/2021
2021-08;wKMSdRnJaPcK5OSZefCj7A==;110,03;PF;134;atrasada;11/09/2021
2021-08;lN75A4YK314NTDasExAyzw==;111,67;PF;136;paga;22/09/2021
2021-08;0huwKrYwGsmRNdMXQAE2jQ==;111,67;PF;136;atrasada;09/09/2021
2021-08;vYMnR618F0IAzLlJj6XSEg==;111,67;PF;136;atrasada;11/09/2021
2021-07;wOUVGpMY7f16XTjpBWQ6CQ==;112,49;PF;137;paga;24/08/2021
